Comment,Designator,Footprint,LCSC,Quantity
LED,D4,LED_D5.0mm,,1
LED,D1,LED_D5.0mm,,1
LED,D2,LED_D5.0mm,,1
LED,D3,LED_D5.0mm,,1
220R,R15,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
220R,R13,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
220R,R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
220R,R14,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
47kR,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
47kR,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
4.7kR,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
BC337,Q2,TO-92_Inline,,1
BC337,Q1,TO-92_Inline,,1
47kR,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
47kR,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
4.7kR,R16,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
BC337,Q3,TO-92_Inline,,1
BC337,Q4,TO-92_Inline,,1
47kR,R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
4.7kR,R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
47kR,R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
BC337,Q8,TO-92_Inline,,1
BC337,Q7,TO-92_Inline,,1
BC337,Q5,TO-92_Inline,,1
BC337,Q6,TO-92_Inline,,1
4.7kR,R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
47kR,R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
47kR,R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
SW_Push,SW8,SW_PUSH_6mm,,1
SW_Push,SW6,SW_PUSH_6mm,,1
SW_Push,SW5,SW_PUSH_6mm,,1
SW_Push,SW4,SW_PUSH_6mm,,1
SW_Push,SW3,SW_PUSH_6mm,,1
SW_Push,SW2,SW_PUSH_6mm,,1
SW_Push,SW1,SW_PUSH_6mm,,1
R_Potentiometer,RV1,Potentiometer_Vishay_T73YP_Vertical,,1
Battery_Cell,BT2,BatteryHolder_Keystone_3034_1x20mm,,1
Battery_Cell,BT1,BatteryHolder_Keystone_3034_1x20mm,,1
SW_Push,SW7,SW_PUSH_6mm,,1
